A,Agilent Technologies, Inc. Comm,NYQ
B,Barnes Group, Inc. Common Stock,NYQ
C,Citigroup, Inc. Common Stock,NYQ
D,Dominion Resources, Inc. Common,NYQ
E,ENI S.p.A. Common Stock,NYQ
F,Ford Motor Company Common Stock,NYQ
G,Genpact Limited Common Stock,NYQ
H,Hyatt Hotels Corporation Class ,NYQ
I,Intelsat S.A. Common Shares,NYQ
J,N/A,N/A
K,Kellogg Company Common Stock,NYQ
L,Loews Corporation Common Stock,NYQ
M,Macy's Inc Common Stock,NYQ
N,Netsuite Inc,NYQ
O,Realty Income Corporation Commo,NYQ
P,Pandora Media, Inc. Common Stoc,NYQ
Q,Quintiles IMS Holdings, Inc. Co,NYQ
R,Ryder System, Inc. Common Stock,NYQ
S,Sprint Corporation Common Stock,NYQ
T,AT&T Inc.,NYQ
U,N/A,N/A
V,Visa Inc.,NYQ
W,Wayfair Inc. Class A Common Sto,NYQ
X,United States Steel Corporation,NYQ
Y,Alleghany Corporation Common St,NYQ
Z,Zillow Group, Inc.,NMS
