,symbol,last,date,change,high,low,vol,epsCurr,epsNext,marketCap
0,E,31.70,12/28/2016,-0.38,31.92,31.61,254880,43.42,11.57,55.67B
1,F,12.25,12/28/2016,-0.14,12.45,12.22,26875381,6.73,7.47,48.68B
2,G,24.11,12/28/2016,-0.09,24.28,24.01,281656,16.86,15.36,4.84B
3,H,56.00,12/28/2016,-0.43,56.71,55.83,238882,34.15,36.36,7.33B
4,I,2.82,12/28/2016,-0.03,2.86,2.71,227513,1.21,N/A,332.20M
5,K,73.43,12/28/2016,-0.42,73.90,73.32,674806,19.95,18.45,25.77B
6,L,47.19,12/28/2016,-0.25,47.61,47.12,462040,17.48,14.84,15.90B
7,M,36.28,12/28/2016,-0.25,36.93,36.12,3521569,11.03,10.13,11.09B
8,N,90.34,11/4/2016,+0.00,N/A,N/A,0,N/A,N/A,N/A
9,O,55.8875,12/28/2016,-0.3400,56.6100,55.7000,1776993,50.3491,45.0706,14.45B
10,S,8.72,12/28/2016,+0.03,8.76,8.67,10943068,N/A,N/A,34.72B
11,T,42.52,12/28/2016,-0.13,42.82,42.47,11026941,14.97,14.32,261.12B
12,V,78.30,12/28/2016,-0.05,78.65,77.97,7587068,23.87,20.50,183.22B
13,W,35.96,12/28/2016,-0.29,36.43,35.47,517651,N/A,N/A,3.08B
14,X,35.08,12/28/2016,-1.19,37.28,34.97,10662898,N/A,25.79,6.05B
15,Y,605.43,12/28/2016,-6.44,612.00,605.22,23875,22.02,19.74,9.34B
